ID,Authors / works,Book form,Content (beta!),Culture & genre,Date,Full Text,Language/script,Material,Note,People List,Places List,Provenance,Recto/Verso,Reuse note,Reuse type,Ro,Text Irregularities
TM 19698,nan,nan,Receipt: orderSee also TM Letters TOP SS6 (1formula).,nan,aboutyear 9 of Iustinus ?: AD 525 Aug 29 - 526 Aug 28?,1 [--------------------]  ἐν  τῷ̣  δι̣κ̣αστηρ̣ίῳ̣  [...][---] 2 κ(αὶ)  κ̣ε̣λευσθέντα  παρὰ  τῆς  ἐξουσίας 3 το(ῦ)  κυρίο(υ)  μο(υ)  το(ῦ)  λαμπρο(τάτου)  τριβούνο(υ)  νοταρ(ίων) 4 πραιτωριανο͂(ν)*  το(ῦ)  θείου  παλατίο(υ)  κ(αὶ)  ἄρχον(τος) 5 τ̣ῆ[ς]  Θηβαίων  ἐπαρχείας Φλ(αουίου) Μηνᾶ 6 Ἰουστινιανός* Δημοσθένους Ἰωάννο(υ) 7 Θω̣μᾶ  παρεῖναι  σπουδάσατε  δεχόμ(ενοι) 8 τῆς  τάξεως  τὰ  γράμματα  παραστῆσ(αι) 9 κ̣[(αὶ)]  παραδοῦναι  Μεγάλῳ  σιγγο(υ)λαρ(ίῳ) 10 τῷ  κ(αὶ)  ε̣ἰ̣ς  τοῦτο  ἀποσταλέντι  ὅπως 11 τ[ὰ]  κεκελευσμένα  εἰς  πέρας  ἄχθῃ . 12 εἰσὶν  δέ  · 13 Ἀπολλὼς  πρωτοκομήτ(ης)*  ἀπὸ  Ἀφροδίτ(ης) 14 Μ̣α̣ρ̣[ι]ὰ̣μ̣  Ταρίστο\υ/  ἀπὸ  τ(ῆς)  (αὐτῆς) 15 Φλ(αούιος)  Μ̣έγας  σιγγουλάρ(ιος)  ἐκδέδωκα  τὸ  ἴσον . 16 [---][....]  Ἀπ̣ο̣λ̣(λὼς)  Διο(σκόρου)  δ(ιὰ)  Μεγά̣λο(υ)  σ[ι]γγ(ουλαρίου)  [.][---],Greek,nan,nan,"[' 5 - 7Φλαουίου Μηνᾶ Ιουστινιανος Δημοσθένους alias Ἰωάννου alias Θωμᾶ', ' 9Μεγάλῳ', ' 13Ἀπολλὼς', ' 14Μαριὰμ', 'Ταρίστου', ' 15Φλαούιος Μέγας', ' 16Ἀπολλὼς', 'Διοσκόρου', 'Μεγάλου', 'Subscribe to export the table']","{'τ̣ῆ[ς] Θηβαίων ἐπαρχείας': '74528', 'ἀπὸ Ἀφροδίτ(ης)': '74526', 'ἀπὸ Τζυ': '74527'}",Aphrodito (Kom Ishgau)- Egypt (10th Upper Egyptian nomeThe Egyptian nome ca. 3rd cent. BC-AegyptusThe Roman provincia ca. 2nd cent. AD) [found & written],"Ro/Vo, back: address",nan,nan,nan,"['πρωτοκομήτης: read πρωτοκωμήτης', 'πραιτωριανο͂ν: read πραιτωριανῶν', 'Ἰουστινιανός: read Ἰουστινιανοῦ']"
TM 36138,nan,nan,Bond,nan,mid 6th century AD: AD 525 - 575,1 [---][....]τητος  καθʼ*  ἐνιαυτὸν  χρυσοῦ 2 [---]  [τέ]σ̣σερα  ἐν  οἴνῳ  ἀπὸ  τῶν  ὑμετέρων  χωρίων 3 [---]μένου  παρʼ  ὑμῶν  οἴνου  τοῖς  ἑτέροις  τινὲς  ἀπὸ  τῆς 4 [---]δι[..]ς  καὶ  καταβέβληκα  ὑμῖν  τὴν  τούτων  τιμὴν 5 [---]  [τῆς]  μὲν  πρ̣ώ̣της  κατ[αβολῆς]  [---] 6 [---]ερα[.]  πλη̣ρώσω  ὑμῖν  τὴν  τιμὴ̣ν̣  [....] 7 [---]  [τ]ῆ̣ς  ἰνδ(ικτίονος)  [.]ης  ἄ̣λλων  προκειμένων  ἐτῶν  [τεσσ]άρων 8 [---]  ὁ  αὐτὸ[.]  [..]  χωρίς  τινος  ἀντιλογίας  κινδύνῳ  ἐμ[ῷ]  [καὶ]  πόρ[ῳ] 9 [---]  [ὑ]ποστά[σ]εως  κινητῶν  τε  καὶ  ἀκινήτων  δικαίῳ  λόγῳ  ἐνεχύρου 10 καὶ 11 [---]  [ἄ]χρι  ἀπ[ο]δώσεως*  τῆς  καταβολῆς  τοῦ  χρυσίου  ἐπὶ  τῶν  προτεταγμένων 12 [---]  ὑπογραφῆ̣ς  ἐμῆς  καὶ  ἐπερωτ(ηθεὶς)  ὡμολ(όγησα) .  †  Αὐρήλιος  Γεώργιος  Ἰωάννου  ὁ  προκ(είμενος) 13 [---]  ταύτην  τὴν  ὁμολογια*  ὡς  πρόκ(ειται) .  Αὐρήλιος  Ἰωάννης  Ἑρμαῶτος 14 [---]  τῃ  ὁμολογίᾳ  ἀκούσας  παρὰ  τοῦ  θεμένου .  ⳨  Φλ(αούιος)  Σερῆνος 15 [---][.]ου  μα̣ρ̣τυρῶ  τῇ  ὀμειλῇ*  ἀκούσας  παρὰ  τοῦ  θεμένου .  ⳨ 16 †  διʼ  ἐμοῦ  Κύρου  νομικ(οῦ)  ἐγράφ(η)  θεοῦ  θελ(ήματι),Greek,nan,nan,"[' 12Αὐρήλιος Γεώργιος', 'Ἰωάννου', ' 13Αὐρήλιος Ἰωάννης', 'Ἑρμαῶτος', ' 14Φλαούιος Σερῆνος', ' 16Κύρου', 'Subscribe to export the table']",{},Aphrodito (Kom Ishgau)- Egypt (10th Upper Egyptian nomeThe Egyptian nome ca. 3rd cent. BC-AegyptusThe Roman provincia ca. 2nd cent. AD) [found & written],Ro,nan,nan,nan,"['καθʼ: read κατʼ', 'ἀποδώσεως: read ἀποδόσεως', 'ὁμολογια: read ὁμολογίαν', 'ὀμειλῇ: read ὀφειλῇ']"
TM 36546,nan,nan,Contract,nan,aboutsecond quarter 6th century AD: AD 525 - 550,"1 [--------------------]  [.][---] 2 [.][---] 3 ὑ̣π̣ογρα̣φοντ[....][---] 4 [..]ου̣  φα̣ν̣ε̣ρ̣[οῦ]  λ̣[.]ερα 5 πρ̣ά̣γμα̣[τα]  κ̣αὶ  καταστήσατό̣*  με  ἐπάνω  τ[..]  [τῷ]  συντεθέντ̣[ι] 6 παρʼ  αὐτοῦ  διαθηκιμαίῳ  γράμματι  καὶ  ὁρισθέν  μοι  πα̣ρὰ̣  τ̣ο̣ῦ̣  π̣ροειρημένου  μου 7 ἀδελφοῦ  τὸ  κτῆμα  κλήρου  Ψινεΐου  σὺν  δικαίοις  πᾶσι  καὶ  τὰς  ἄλλας  αὐτοῦ  ἀρούρα̣[ς] 8 [δ]ια̣κ̣ει̣μ̣έν̣α̣ς̣  <ἐν>  κλήρ(ῳ)  Ν̣εμ̣πκῆτ̣ο̣ς  καὶ  παντ̣α̣*  τ*  α*  προσοδα*  τούτων  διοικήσασθαι 9 δικα̣ίως  {παρʼ}  {ἐμ̣ο̣ῦ}  καὶ  ἀναλί[σ]κ̣ειν  τὴν  κατ[..]  π̣ρόσο̣δ̣ο̣ν̣  [π]ρ̣[ὸς]  [τ]ὰ̣ς̣  ἁ̣γ̣ί̣α̣ς 10 προσφορὰς  καὶ  ἀγάπας  καὶ  μ[.]  π̣λ̣η̣ρῶσα̣ι  τὰ  ἑαυ̣τοῦ  δημόσια  καὶ  τὰ̣ 11 χρεοφλ̣ήματα  πρ̣[ὸ]ς  ὅλον  τὸν  χρόνον  τ̣[ῆς]  ἐ̣[μ]ῆ̣ς̣  ζωῆς  π̣ρ̣[ὸς]  τὴ̣ν  π̣ίστιν 12 τῆς  αὐτοῦ  ἐγγράφου  βουλήσεω̣ς̣  καὶ  ε̣[........]ε̣ῖ̣σ̣θαι  παρʼ  ἐμοῦ 13 ἀκαταφρονήτως .  καὶ  ἐπειδὴ  πρὸ  ὀλίγου  τοῦ  χρόνου  του*  προ*  κ*  κτηματος* 14 ἐπορθήθη  καὶ  ἀπελύθη  ἐν  καιρῷ  τῆς  στενοσίας  καὶ  μοχθηρίας ,  οὐκ  ἐδυνή- 15 θ̣η̣ν̣  ὑ̣π̣ομε̣ῖναι  τὸ  βάρος  τῆς  αὐτουργίας  <καὶ>  τὰ  δημόσια  καὶ  τὴν  φροντίδα 16 τῆς  ὑποργείας*  τῆς  μνήμης  τ̣ο̣ῦ̣  π̣[ρο]κ̣(ειμένου)  μακα̣ριωτάτου  μου  ἀδελφοῦ 17 καὶ  τὰ  χρεοφλήματα  ἐν  καιροῖ̣ς  μ̣ο̣χ[θηρο]ῖς  καὶ  ἀβρόχοις ,  μάλι̣στα  δὲ  τὴν  ἐμὴν 18 γερ[α]ιοτητην*  καὶ  ἀδυναστί̣α̣ν̣  {μ̣ο̣υ̣}  μενού̣σ̣η ,  ἐκά̣θ̣εισα̣*  δὲ  ἐμα̣υ̣τ̣ὸ̣ν  ὡ̣ς̣  μᾶλλον 19 σύμφερον  ἐπιλέξα<ι>  ἱκανοι*  ανδρες*  εἰς  τὸ  ἀναγκαῖον  καὶ  εὐσεβον*  ἔργον 20 κατὰ  τὴν  δύναμιν  τῆς  γεγενημένης  μοι  παρὰ  τοῦ  προκ(ειμένου)  μακαριωτάτου  μου 21 ἀδελφοῦ  Ἑρμαουῶτος  <>  <> ,  ηὑρεθη*  δὲ  τὸν  τιμιώτατον  καὶ  ἐλε<ειν>ότερον  Βησαρίωνα 22 υἱ̣ὸν ⟦[..]ι̣ον⟧  Διοσκό̣ρ̣ου  καὶ  Ἀπολλῶν  τ̣ὸ̣ν̣  [αὐτ]ο̣ῦ  ἀ̣δ̣ελφὸν  καὶ  τούτω̣ν̣  ἀξιωσα*  αὐτοὺς 23 [.]ον  ἐκ  δ̣α̣κρύ̣ω̣[ν]  [.]σων  καὶ  μεγάλων  πνευστιῶν 24 καὶ  τούτ̣ους  [....]  πεποιή̣κ̣α̣σι  καὶ  μὴ 25 τὴν  ἁγίαν  μ̣νήμην  τοῦ  προειρημένου  μο̣[υ]  ἀ̣δ̣ελφοῦ̣  ἀπο̣ληθῆ[ν]αι*  καὶ 26 ἐδυνήθησαν  {ἐν}  θεοῦ  θέλοντος̣  καὶ  ἐ̣κτήθησαν  καὶ  ἐφύτευσαν  του*  προ*   κ̣* NA κτηματος*  ὀνό(ματος)  τοῦ  προγεγρ[αμ]μ̣έ̣ν̣ο̣υ̣  [μ]ο̣υ̣  ἀ̣δ̣ε̣λ̣φοῦ  ἐν  νεοφυτίῳ  ἀμπέλῳ 28 ἐκ  τοῦ  ἰδί̣ο̣υ̣  τῶν  πόνων  κ[αὶ]  [ἱδρύτ]ω̣ν  αἵματος  ἐξ  ἐμῆς  βουλ̣ήσεως 29 [.]ο̣ν  καὶ  βουλο[.]ω̣ς  νόμιμον  [--------------------]",Greek,nan,nan,"[' 21Ἑρμαουῶτος', 'Βησαρίωνα', ' 22Διοσκόρου', 'Ἀπολλῶν', 'Subscribe to export the table']","{'κλήρου Ψινειου': '70944', '<ἐν> κλήρ(ῳ) Ν̣εμ̣πκητ̣ο̣ς': '70943'}",Aphrodito (Kom Ishgau)- Egypt (10th Upper Egyptian nomeThe Egyptian nome ca. 3rd cent. BC-AegyptusThe Roman provincia ca. 2nd cent. AD) [found & written],Ro,nan,nan,nan,"[': read <ἐν>', ': read <καὶ>', 'ἐπιλέξα: read ἐπιλέξα<ι>', ': read < >', 'ἐλεότερον: read ἐλε<ειν>ότερον', 'παρʼ ἐμ̣ο̣ῦ: read {παρʼ ἐμ̣ο̣ῦ}', 'μ̣ο̣υ̣: read {μ̣ο̣υ̣}', 'ἐν: read {ἐν}', 'γεραιοτητην: read γεραιότητα', 'ἐκάθεισα: read ἐκάθισα', 'εὐσεβον: read εὐσεβὲς', 'ἀποληθῆναι: read ἀπολυθῆναι', 'καταστήσατό: read κατεστήσατό']"
TM 36804,nan,nan,LetterSee also TM Letters TOP SS6 (1formula).,nan,mid 6th century AD: AD 525 - 575,"1 ⳨  καὶ  ἄλλοτε  ἐγράφη  ὑμῖν  παραυτὰ  καταλαβεῖν  ·  θελήσατε  οὖν  παραχρῆμ[α]  [τοῦτο] 2 ποιῆσ̣α̣ι̣ .  κατερχόμενοι  δὲ  ἢ  ἐν  ὀψινῇ  ἢ  ἐ[ν]  [νυ]κτὶ ,  ὁρμήσατε  κ̣α̣ὶ̣  ἀπε[λάσ]ατε  πρὸς  Κό[λλουθον] 3 τὸν  νοτάριον  ἢ  πρὸς  τὴν  μεγάλην  ἄμα  Μα̣ρίαν  ·  καὶ  πέμπει  ὑμᾶς  πρὸς  ἐμὲ  νύκτωρ . 4 ὡς  οὖν  πολλάκις  εἴρηται ,  καταλάβετε  παραχρῆμα ,  ἐπειδὴ  ἀναγκαίως  χρείαν  ὑμῶν 5 ἔχω  ⳨ 1 [⳨] [Λαυτω?]ν  ἐξουσία  ____  Ἀπολλῶ̣τ̣ι̣  κ(αὶ)  λοιπ(οῖς)  πρωτοκωμ(ήταις)  Ἀφροδίτ(ης)",Greek,nan,nan,"[' 1Ἀπολλῶτι', ' 2Κόλλουθον', ' 3ἄμα Μαρίαν', 'Subscribe to export the table']",{'Ἀφροδίτ(ης)': '219752'},Antaiopolis (Qaw el-Kebir)- Egypt (10th Upper Egyptian nomeThe Egyptian nome ca. 3rd cent. BC-AegyptusThe Roman provincia ca. 2nd cent. AD) [written]Aphrodito (Kom Ishgau)- Egypt (10th Upper Egyptian nomeThe Egyptian nome ca. 3rd cent. BC-AegyptusThe Roman provincia ca. 2nd cent. AD) [found],"Ro/Vo, back: address",nan,nan,nan,[]
TM 36832,nan,nan,Contract,nan,mid 6th century AD: AD 525 - 575,"1 [--------------------] 2 [---]  [ὑποκειμένων]  [σοι] ,  εἰς  τὴν  ἔκτισιν  τοῦ 1 προστίμου ,  εἰ  οὕτω  τ̣[υχόντα]  [εὕροις]  [?]  [,]  [πάντων]  [τῶν]  [ὑπαρχόντων]  [καὶ]  ὑ[π]α̣ρ̣ξ̣όντων 2 π̣ρ̣[αγ]μάτων  κινη[τῶν]  [τε]  [καὶ]  [ἀκινήτων]  [καὶ]  [αὐτοκινήτων]  [,]  [γενικῶς]  [καὶ]  [ἰ̣δ̣ι̣κ̣ῶ̣ς̣] 3 ἐνεχύρου  λόγῳ  καὶ  ὑ̣[ποθήκης]  [δικαίῳ]  [μεθʼ]  [ὑπογρ(αφῆς?)]  [ἡμῶν]  [ὡς]  [πρόκ(ειται)]  [.]  [καὶ]  [ἐφʼ]  [ἅ]παντα  τὰ 4 ἐγγεγραμμένα  ἐπ[ερωτηθέντες]  [---]ν  ὡμολογήσαμεν  ⳨ . 5 † Αὐρήλιοι Μακ[άριος]  [---]  [,]  [καὶ]  [---] 6 ἀδελφὸς  αὐτο(ῦ)  ὁ[μογνήσιος]  [---]  [,]  [ἐγγυώμεθα]  [τὸν]  προκ(είμενον)  Ψάϊον Ἀπολλῶτος̣ 7 γεωργος*  εἰς  χρ̣[υσοῦ]  [καθʼ]  [ἕ̣κ̣α̣σ̣τ̣ο̣ν̣]  [νομισμάτια]  δύο ,  καὶ  \ὠ/μόσαμεν ⟦ομοσαμεν⟧ 8 τὸν  θεῖον  ὅρκον  κ̣[αὶ]  [---]  [ὡς]  [π]ρόκ(ειται) . Φλ(αύιος) Πνεις 9 Ἰωσηφίο(υ) ,  ἀξιω[θεὶς]  [,]  [ἔγραψα]  [ὑπὲρ]  [αὐτῶν]  [γράμματα]  [μὴ]  εἰδότων .  ⳨ Αὐρήλιοι Ἱερημίας 10 Ἀπολλῶτος Παθ[ελπε]  [καὶ]  [---]θ̣ι̣ς̣  \[---]ου/  \⟦Ῥούπ⟧/  ⟦@^inline^ἐγγυόμ\ε/θα@εγγυομαιθα⟧*  τὸν 11 προκ(είμενον) Ψάϊο\ν/ ⟦ψαιου⟧ Ἀπολ̣[λῶτος]  [γεωργὸν]  [εἰς]  [χρυσοῦ]  [καθʼ]  [ἑ]καστο\υ/ ⟦[ε]καστον⟧*  νομισμάτια 12 δύο ,  καὶ  \ὠ/μόσα\μ[εν?]/ ⟦ομοσα⟧  [τὸν]  [θεῖον]  [ὅρκον]  [ὡς]  [πρόκ(ειται)]  [†] [Αὐρ(ήλιος)] Ἐνὼχ Ἡρακλείου 13 ἀξιωθεὶς ,  ἔγρα[ψα]  [ὑπὲρ]  [αὐτῶν]  [γράμματα]  [μὴ]  [εἰδό]τον* .",Greek,nan,nan,['\r\n        \t\t\t\t\tWe currently do not have any people attestations for this text.'],{},Aphrodito (Kom Ishgau)- Egypt (10th Upper Egyptian nomeThe Egyptian nome ca. 3rd cent. BC-AegyptusThe Roman provincia ca. 2nd cent. AD) [found & written],Ro,nan,nan,nan,"['εἰδότον: read εἰδότων', 'γεωργος: read γεωργὸν']"
TM 36923,nan,nan,Contract: lease,nan,mid 6th century AD: AD 525 - 575,"1 [--------------------]  [---]ιντ[.][---] 2 [---]  [σίτου]  ἀ̣ρτ[ά]βας  εἴ̣κ̣ο̣σ̣ι̣  καὶ  κ̣ριθ̣ῶ̣ν  ἀρτ̣[άβας]  δ̣ώ[δεκα] 3 [---][μο?]ν̣αστ̣[ή?]ρια  απα[..]ν̣ο̣[υ]θ̣ο̣υ̣  γ̣ί(νονται)  σί(του)  (ἀρτάβαι)  κ̣  [(καὶ)]  κ̣[ρ(ιθῶν)]  [(ἀρτάβαι)]  ιβ  παρὰ̣  ε̣ι̣[....] 4 [---][τυροὺ?]ς̣  τ̣εσ̣[σ]εράκοντα  ἓ̣ξ̣  καὶ  λ̣α̣μψάνης ⟦λ̣α̣μψανας⟧  κολ[ο]βὰ  τέσσαρ[α]  κ[α]ὶ 5 [---][.]χ̣ες  [δ?]ὲ̣  τὰ  λείψανα  τῶν  ἀπ[ο]θνῃσκόν̣των  ἐξ  ὑμῶν̣ ⟦ημων⟧ 6 [---]  [δ]ιὰ  τ[ῆ]ς  ἡμῶν  ἁμάξης ⟦αμαξας⟧  καὶ  τῶν  ἡμῶν ⟦εμων⟧  ζῴων̣  μὲν  π̣ρ̣ε 7 [---]  ἡμᾶ[ς]  ἐ̣κβαλεῖν  ἐκ  τῆς  γεωργίας  τῶν  εἰρημέ̣ν̣ων  ἀρουρῶν 8 [---]ειν  μισθωταῖς ,  εἰ  δὲ  συμβαίη  τινὰ  ἐξ  ἡμῶν  παραβῆναι  τὰ̣ 9 [---]  [τὸ]  μ[ὴ]  ἐμμένων  τ̣οῦ  μέρους  τῷ  ἐμμένοντι  δώσειν  χρυς[..] 10 [---]  ἐ̣μ̣μεῖναι  τῇ  μισθωτικῇ  ὁμολογίᾳ  κυρίᾳ  οὔσῃ  κ̣αὶ  βε̣β̣α̣ί̣ᾳ 11 [καὶ]  [ἐπερ(ωτηθέντες)]  [ὡμολ(ογήσαμεν)]  [.]  ____ 12 [---]  [κ]λ̣η̣ρονόμοι̣  Ψιμανωβετ  Κύρου  Φ̣ισ̣κίου̣ 13 [---]  [ο]ἱ̣  προκ(είμενοι)  μεμίσθωμαι*  ὡς  π[ρ]όκ(ειται) . 14 [---]  [μ]α[ρ]τυρῶ  ὡς  πρόκ(ειται) .  Φλ(αύιος)  Δ̣ιόσκορος  Ἀπ̣[ο]λλῶτος  μ̣αρτυ̣ρ̣[ῶ]  [ὡς]  π̣ρ̣ό̣κ̣(ειται) .",Greek,nan,nan,"[' 12Ψιμανωβετ', 'Κύρου', 'Φισκίου', ' 14Φλαύιος Διόσκορος', 'Ἀπολλῶτος', 'Subscribe to export the table']",{},Aphrodito (Kom Ishgau)- Egypt (10th Upper Egyptian nomeThe Egyptian nome ca. 3rd cent. BC-AegyptusThe Roman provincia ca. 2nd cent. AD) [found & written],Ro,nan,nan,nan,['μεμίσθωμαι: read μεμισθώμεθα']
TM 36959,nan,nan,Small fragment of a lease,nan,mid 6th century AD: AD 525 - 575,nan,Greek,nan,nan,['\r\n        \t\t\t\t\tWe currently do not have any people attestations for this text.'],{},Aphrodito (Kom Ishgau)- Egypt (10th Upper Egyptian nomeThe Egyptian nome ca. 3rd cent. BC-AegyptusThe Roman provincia ca. 2nd cent. AD) [found & written],Ro,nan,nan,nan,[]
TM 36961,nan,nan,Small fragment of a document,nan,mid 6th century AD: AD 525 - 575,nan,Greek,nan,nan,['\r\n        \t\t\t\t\tWe currently do not have any people attestations for this text.'],{},Aphrodito (Kom Ishgau)- Egypt (10th Upper Egyptian nomeThe Egyptian nome ca. 3rd cent. BC-AegyptusThe Roman provincia ca. 2nd cent. AD) [found & written],Ro,nan,nan,nan,[]
TM 38506,nan,nan,Administration: register,nan,mid 6th century AD: AD 525 - 575,16 τόπ[(ου)]  [Πετὸ]  [ἐκ]κλ(ησία)  [Ἀπ]ό̣λλωνος  ὑπ(ὸ)  [Σαβῖνον]  σπ(ορίμης)  (γῆς)  (ἄρουραι)  ιε  δενδρ(ικῆς)  (ἄρουραι)  ε 17 [---][.....]  [χρυ]σ̣ικ(…)  νο(μίσματα)  β  κ(εράτια)  ιθ,Greek,nan,nan,"[' 1Ἀμμωνίου', ' 2Ἰωάννου', ' 3Ψαίου', 'Φὴρ', 'Παπνοῦτε', 'Ἀπολλῶν', ' 4Κύρας', 'Πρωμαῶτος', 'Ὧρον', 'Παρᾶς', ' 5Βησαρίωνος', 'Ἰακῦβιν', 'Μαξίμου', ' 6Ἑρμαυῶτος', 'Ψενθαησίου', 'Βησσουροῦτος', 'Προμαῶτος', ' 7Βίκτορος', 'Μακαρίου', 'Ἴσακον', 'Βίκτορος', ' 8Ἀνοῦφιν', 'Μουσαίου', ' 9Πρωμαῶν', 'Ἰσακίου', ' 10Ἰωάννην', 'Μουσαίου', ' 11Κύρας', 'Πρωμαῶτος', 'Ἰωάννην', 'Μουσαίου', ' 12Λουκανοῦ', 'Χαιρήμωνος', ' 13Ἰωάννου', 'Μουσαίου', 'Εἰρήνης', ' 16Ἀπόλλωνος', 'Σαβῖνον', 'Subscribe to export the table']","{'Μον̣εχ̣θη': '97229', 'τόπ(ου) Νεμηφεως': '97232', 'τόπ(ου) Πι̣α Μυλʼ': '97231', 'τόπ[(ου) Πετο]': '97230'}",Aphrodito (Kom Ishgau)- Egypt (10th Upper Egyptian nomeThe Egyptian nome ca. 3rd cent. BC-AegyptusThe Roman provincia ca. 2nd cent. AD) [found & written],Ro,nan,nan,nan,[]
TM 128587,nan,nan,arbitration,nan,mid 6th century AD: AD 525 - 575,nan,Coptic,papyrus,nan,"[' 2ⲓⲱⲥⲏⲫ', 'ϩⲉⲣⲙⲁⲩⲱ', 'ⲇⲓⲟⲥⲕⲟⲣⲟⲥ', ' 51Καλλίνικος', 'Βίκτορος', 'Subscribe to export the table']",{},"Aphrodito (Kom Ishgau), Monastery of Apollon - Egypt (10th Upper Egyptian nomeThe Egyptian nome ca. 3rd cent. BC-AegyptusThe Roman provincia ca. 2nd cent. AD) [found & written]",Ro,nan,nan,nan,[]
TM 18436,nan,nan,Contract: loan,nan,AD 541 Oct 10?AD 526 Oct 10?,"1 ⳨  Ἀπο̣λλ[ῶ]τι  Διοσ̣κόρο(υ)  π(αρὰ)  Σανσνε̣ο̣ῦτος  Ἰσακίο(υ)  χαίρ(ειν) .  ἔχω  κ̣[α]ὶ̣  [ὀ]φίλω̣*  [σοι] 2 λ̣[ό]γ̣ῳ̣  σ̣π̣ε̣ρ̣μοβολίας  κριθῶ[ν]  ἀρτάβας̣  δύο  κ(αὶ)  σίτο(υ)  ἀρ[τ]άβας  δύο  ·  γί(νονται)  σί(του)  (ἀρτάβαι)  β  κ̣(αὶ) 3 κριθ(ῶν)  (ἀρτάβαι)  β ,  ἅσπερ  σοι  ἀποδώσω  καιρῷ  τῆς̣  συνκ̣(ομιδῆς)  σὺ̣ν̣   με̣λ̣λ̣[(ούσης)]  ἕ̣κτης  ἰν̣δ̣ι̣κ(τίονος) ,  τῷ  σῷ 4 ἰφίῳ  μέτρῳ  ἀνυπερθέτως .  ἐγράφη Φ[α]ῶφι  ιγ  πέμπτης  ἰν̣δ̣ι̣κ(τίονος) 5 ⳨  Α̣ὐ̣ρήλιος  Σανσν̣ε̣ὺς  Ἰσακίο(υ)  [ὁ]  π̣ρ̣οκ(είμενος)  συμφονῖ*  μοι  ὡς  πρόκ(ειται) .  Ἀπολ̣λὼς  Ἰσακίο(υ)  ἀξιωθεὶς ,  ἔγραψα  ὑπὲρ  αὐτοῦ 6 γράμματα  μὴ  εἰδότ̣ος  |̣c̣ḥịṛḥọ|̣  ⳨  |̣c̣ḥịṛḥọ|̣  [..][---] 7 ⳨  ἐγράφη  διʼ  ἐμο(ῦ)  Ἀβρααμίου  Ἀπολ̣(λῶτος) 1 ἀ̣σ̣φ̣ά̣λ(εια)  Σανσνεοῦτος  Ἰσα[κίο]υ̣  [...]",Greek,nan,nan,"[' 1Ἀπολλῶτι', 'Διοσκόρου', 'Σανσνεοῦτος', 'Ἰσακίου', 'Σανσνεοῦτος', 'Ἰσακίου', ' 5Ἀπολλὼς', 'Ἰσακίου', 'Αὐρήλιος Σανσνεὺς', 'Ἰσακίου', ' 7Ἀβρααμίου', 'Ἀπολλῶτος', 'Subscribe to export the table']",{},Aphrodito (Kom Ishgau)- Egypt (10th Upper Egyptian nomeThe Egyptian nome ca. 3rd cent. BC-AegyptusThe Roman provincia ca. 2nd cent. AD) [found & written],"Ro/Vo, back: summary",nan,nan,nan,"['ὀφίλω: read ὀφείλω', 'συμφονῖ: read συμφωνεῖ']"
TM 19031,nan,nan,Contract: lease,nan,AD 526 Jul 25,"1 ⳨  [μετ]ὰ  τὴν  ὑπατείαν Φλ[(αυίου)] [Φ]ι̣λοξ̣ένου  τοῦ  ἐνδοξοτάτου , 2 Μεσ[ο]ρὴ  α̣  πέμπτης  ἰνδικ(τίονος) . 3 Α̣ὐ̣ρ̣ή̣λ[ιο]ι  Φοιβάμμων  Βίκ̣τ̣ορ[ος]  Πελήμω̣ν̣ο̣ς̣  καὶ  Ἑρμ[αύως?] 4 Παμ̣ο(υ)νί[ο(υ)] ,  ἀμφότεροι  ἀπὸ  ἐποικείο*  Ψεκῆτος  περὶ  κώμην  Ἀφροδίτη̣[ς] 5 το(ῦ)  Ἀνται̣[ο]πολίτο(υ)  νομο(ῦ) ,  Α[ὐρ]ηλίῳ  Ἰσακίῳ  Ἰ̣ω̣άννο̣(υ) ,  διὰ  τοῦ 6 [θαυμασιωτά]τ̣ο(υ)  Ἀπολλῶτος  Δι̣οσκ[όρο(υ)]  ποιο(υ)μ̣έ̣[νου]  τ̣ὸ̣ν  λ̣όγον  αὐτοῦ , 7 [ἀπὸ]  [τῆς]  [αὐτῆς]  κώμης ,  χαί̣[ρ(ειν)] .  [ὁμο]λ̣ογοῦμεν  ἐξ  ἀλλεληγγύη[ς]* 8 [μεμ]ισ[θῶσ]θαι  παρ̣ὰ̣  σο(ῦ)  πρὸς  [τρ?]ιετῆ  χρόνον ,  ἀπὸ  [κα]ρ̣πῶν 9 [σὺν]   [μελ]λ(ούσης)  ἕκ[τη]ς  ἰνδικ(τίονος)  [καὶ]  [αὐτῆς] ,  τὸ  ὑ̣π̣ά̣ρ̣χ̣[ον]  [.........] 10 [--------------------]",Greek,nan,nan,"[' 1Φλαυίου Φιλοξένου', ' 3Ἑρμαύως', 'Αὐρήλιοι Φοιβάμμων', 'Βίκτορος Πελήμωνος', ' 4Παμουνίου', 'Ψεκῆτος', ' 5Αὐρηλίῳ Ἰσακίῳ', 'Ἰωάννου', ' 6Ἀπολλῶτος', 'Διοσκόρου', 'Subscribe to export the table']","{'ἀπὸ ἐποικείο(υ) Ψεκητος': '104434', 'περὶ κώμην Ἀφροδίτη̣[ς]': '63674', 'το(ῦ) Ἀνται̣[ο]πολίτο(υ) νομο(ῦ)': '63673'}",Aphrodito (Kom Ishgau)- Egypt (10th Upper Egyptian nomeThe Egyptian nome ca. 3rd cent. BC-AegyptusThe Roman provincia ca. 2nd cent. AD) [found & written],Ro,nan,nan,nan,['ἀλλεληγγύης: read ἀλληλεγγύης']
